fec;pet;eur;oro;dol;c18;c36;ibe
140318;64.89;3520.03;1388.60;2848.38;52.611;57.726;9688.50
150318;65.12;3505.69;1380.60;2845.76;52.441;57.580;9684.20
160318;66.21;3499.56;1375.20;2850.04;52.292;57.432;9761.00
170318;66.43;3502.56;1377.38;2852.48;52.166;57.284;9762.08
180318;66.04;3502.56;1381.79;2852.48;52.068;57.139;9702.69
190318;66.05;3516.82;1380.60;2852.48;52.000;57.000;9664.10
200318;67.42;3499.99;1375.10;2852.48;51.964;56.868;9681.60
210318;69.47;3516.56;1385.50;2866.92;51.954;56.740;9630.90
220318;68.91;3508.34;1391.10;2850.69;51.961;56.612;9487.40
230318;70.45;3532.05;1413.90;2857.88;51.977;56.478;9393.10
240318;71.11;3521.09;1427.68;2849.01;51.995;56.334;9343.55
250318;70.61;3521.09;1427.80;2849.01;52.005;56.177;9335.97
260318;70.12;3544.45;1419.90;2849.01;52.000;56.000;9381.00
270318;70.11;3490.56;1406.70;2816.33;51.975;55.804;9473.60
280318;69.53;3433.35;1387.80;2780.04;51.939;55.599;9555.00
290318;70.27;3419.14;1384.90;2780.47;51.902;55.402;9600.40
300318;70.17;3419.14;1392.12;2780.47;51.879;55.229;9636.83
310318;69.15;3419.14;1401.71;2780.47;51.879;55.093;9662.42
10418;68.03;3419.14;1407.84;2780.47;51.916;55.012;9664.70
20418;67.64;3422.20;1404.70;2780.47;52.000;55.000;9631.25
30418;68.12;3427.80;1395.40;2792.96;52.139;55.067;9549.60
40418;68.02;3416.72;1398.60;2778.27;52.315;55.196;9513.30
50418;68.33;3413.25;1387.00;2791.57;52.508;55.365;9740.90
60418;67.11;3417.30;1394.80;2787.36;52.695;55.552;9682.80
70418;66.41;3422.84;1400.71;2791.88;52.854;55.735;9639.04
80418;66.93;3422.84;1400.17;2791.88;52.963;55.892;9681.06
90418;68.65;3436.80;1398.50;2791.88;53.000;56.000;9742.80
100418;71.04;3435.43;1404.40;2781.95;52.951;56.041;9763.50
110418;72.06;3427.39;1418.90;2767.82;52.832;56.015;9735.80
120418;72.02;3366.26;1400.30;2733.24;52.666;55.925;9747.00
130418;72.58;3340.38;1406.60;2710.03;52.477;55.775;9767.30
140418;72.60;3334.60;1413.48;2705.34;52.287;55.568;9767.31
150418;72.06;3334.60;1412.92;2705.34;52.120;55.309;9759.79
160418;71.42;3345.15;1409.30;2705.34;52.000;55.000;9766.10
170418;71.58;3365.28;1408.00;2726.47;51.943;54.649;9803.90
